POMZP3,,
KIR2DL4,,
KIR3DL1,,
ANTXRL,,
ASL,,
OR2G6,,
PSG8,,
CT45A1,,
CDK11B,,
SMN2,,
SMN1,,
TOP3B,,
GYPE,,
GYPB,,
ASMTL,,
ASMT,,
MSTRG.1197,,
MSTRG.5375,,
PTK2B,,
ZNF761,,
ERVV-2,,
PDXDC1,,
NTAN1,,
RRN3,,
TNFRSF12A,,
THOC6,,
BICDL2,,
UGT2B15,,
ATAD3A,,
GBA,,
FAM189B,,
SCAMP3,,
CLK2,,
HCN3,,
ZFP37,,
S1PR1,,
ZNF75D,,
ZNF449,,
INTS6L,,
TIMM23B,,
TIMM23B-AGAP6,,
SERHL2,,
LSM7,,
PMS2,,
CDK11A,,
SLC35E2A,,
DEFB131B,,
OR52E4,,
OR52E5,,
GPHB5,,
KIR3DL3,,
KIR3DL2,,
LRRC27,,
PWWP2B,,
MPV17L,,
MSTRG.2104,,
NDE1,,
MYH11,,
CEP20,,
MSTRG.2106,,
ABCC6,,
CALB2,,
CYP2B6,,
CHRFAM7A,,
SSX5,,
SSX1,,
MYOT,,
PKD2L2,,
FAM13B,,
WNT8A,,
CLCA4,,
SLC10A1,,
SMOC1,,
SLC35G6,,
HSD17B1,,
ATP5F1A,,
HAUS1,,
DCAF12,,
FBXO22,,
H2BC9,,
H3C8,,
H4C8,,
BTN3A2,,
BTN2A2,,
BTN3A1,,
BTN3A3,,
BTN2A1,,
BTN1A1,,
HMGN4,,
H2BC11,,
H2AC11,,
PRSS16,,
POM121L2,,
ZNF184,,
NEK10,,
OSCAR,,
NDUFA3,,
NBPF12,,
PACRG,,
TCAF2,,
FOXI3,,
TEX37,,
EIF2AK3,,
VENTX,,
