gene,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success,tissue,n_tissue_samples,label
LINC02203,8.421052770052594,90.54308863287082,0.07071869838971863,0.045411926411243024,1255.2635410396542,115.92120534881825,0.0,0.0,3.7930739259620116,1.403317824644112,1.006703913752485,-0.003971735052503429,-1.0655896580100273,3.7930739259620116,90.49349852864809,0.0,414,True,Testis,414,0
POTEB,5.542826283362709,252523664775.75488,-0.25189447029002393,0.05592420646984297,4141.174056716796,17.32901506222764,0.0,0.0,0.4333707838720402,0.03819076696013205,0.04745494145569424,2.427370335474113,12.395468035026186,0.4333707838720402,390.273169230123,0.0,414,True,Testis,414,0
OR4M2,7.892673420518641,849597020371.618,-2.988460482915627,0.6271286070369357,1440.387911045767,13.295333286808786,0.0,0.0,2.9073137240980342,0.7917990681189001,0.6444158498819196,0.5045733502221557,-0.5781613055944304,2.9073137240980342,116.73133585387984,0.0,414,True,Testis,414,0
GOLGA6L22,2.4975038435476304,26.563555487900924,3.0419312093998427,0.7505277438296064,266.4826106680823,2.7869039201964547,0.020580592764300177,0.03265382906210181,4.520950197158013,2.8628624943321066,0.8076754842419919,-0.8866033227335072,1.2080321092195714,4.520950197158013,26.56315571918691,0.546685490391277,414,True,Testis,414,0
GOLGA6L1,2.03703618039935,26.007439202096418,2.4545292861682806,0.7270888377279664,723.6416289827814,3.165363903754033,0.0066542856657202075,0.05316278587132562,4.081936081719433,2.2559091172518895,0.7115672008099804,-0.842766285580992,0.6927925014854566,4.081936081719433,26.006959996284618,0.1730577411122356,414,True,Testis,414,0
GOLGA8S,1.9352582609678683,32.80833195147005,3.2936655804654547,0.7002755810446983,490.1292844001798,3.721794567986418,0.0009820321610558274,0.29769385071668664,5.136585152847625,3.0791560290702122,0.7477019584917599,-1.038314132520849,1.6069070543199961,5.136585152847625,32.808254823495915,0.032218761384787964,414,True,Testis,414,0
GOLGA8F,1.6071921518899852,26.69624091389195,1.893586374641946,0.6699759708959844,426.1780510969585,3.8270023866324947,0.0,0.08102187228713448,3.7066079067667563,1.7748098951836053,0.590133536312503,-0.5402400875825214,0.35866029961430446,3.7066079067667563,26.67815059814592,0.0,414,True,Testis,414,0
GOLGA8G,2.2531407544345883,31.75467264526396,2.9294192843068347,0.6755123134479741,314.72444797903563,3.81114998253003,0.0007013917856936637,0.05447482094276045,4.749850660510023,2.7299201062556873,0.7550330630692056,-0.9904096669105463,1.3168204298343555,4.749850660510023,31.75443273296858,0.022272298278266156,414,True,Testis,414,0
GOLGA6L7,2.4904362927266708,41.0563179239823,5.974088605201194,0.6882884566364168,358.01958826956707,2.577319655012146,0.03610819955409804,0.8863940663958496,7.228453161449888,5.556908844420606,1.0394159465366335,-1.79833192471547,3.761578220963931,7.228453161449888,41.054142116505304,1.4823911560650744,414,True,Testis,414,0
GOLGA8J,3.235578219794024,21.37894087276839,2.029174976262163,0.5561196130843296,450.30496851246363,3.156621757474033,0.006788592053498693,0.31078449531731844,3.2704721304729594,1.8654002143825785,0.5678724469383274,-0.5141560498827276,-0.05459908258504109,3.2704721304729594,21.377332688708755,0.1451219908155661,414,True,Testis,414,0
GOLGA8T,1.3215214498513226,21.22173734403645,1.694360444888225,0.5490823755804819,513.0906928453386,2.640532786740501,0.02521452142536602,0.4428161350787677,2.7195733645753313,1.6315977825603116,0.429151878137746,-0.3693700237024523,-0.07036163073459711,2.7195733645753313,21.104048454439347,0.5321284819164236,414,True,Testis,414,0
CHRFAM7A,0.09721213454833737,27.72608391203861,1.504698641515327,0.511366211171191,247.34013013680072,2.5843312696428624,0.03529177148308658,0.0,2.4391683177578023,1.4632328211535235,0.3698458765141772,-0.4916250811686449,0.5485624120254067,2.4391683177578023,27.720858767647847,0.9783182129427448,414,True,Testis,414,0
GOLGA8R,0.0025808060038696834,41.91033490180212,2.3056459396691813,0.871555623235416,575.3340033239247,2.851611883321413,0.012540218289902816,0.2864802120663468,4.063045556190491,2.27003231244569,0.6130941586133076,-0.17484229650326116,-0.01889887188995898,4.063045556190491,41.714598633482545,0.5231101727395528,684,True,Thyroid,684,0
GOLGA8Q,-1.3254593144846833,35.8950065054385,1.5572232756653603,1.106339382513847,545.668402535606,2.8361799589495638,0.0,0.07538749867247228,3.775967083508016,1.5753902732790652,0.6806553675940906,0.09303551889254415,-0.4856394059307192,3.775967083508016,35.25182344391687,0.0,684,True,Thyroid,684,0
GOLGA8H,1.5814679935009976,30.47620208511722,2.9035918407784305,0.45797445230886386,420.96759713736293,3.6003355766902696,0.0015298583788637835,1.2486441270777777,4.06951313988972,2.8130595392799154,0.41946899978501445,-0.5995005642089518,0.6621647100321706,4.06951313988972,30.475564917555786,0.04662329833972989,414,True,Testis,414,0
GOLGA8K,-0.6970109084555527,24.277142890552547,1.772920775515961,0.7133669774101524,362.57280382668466,2.5567918166482078,0.024042420078063287,0.30346982302436815,3.062634648043623,1.754535437725459,0.46977502556940154,-0.18225423771867844,-0.07223151673887251,3.062634648043623,23.928453379715364,0.57529792797347,414,True,Testis,414,0
GOLGA8O,-5.552807980591557,35.56549442450324,1.1007310170666218,1.0239944940461845,531.6987600986097,2.151632224807644,0.0,0.07906743525948708,2.6586707865864603,1.1299733294502976,0.5183484015724446,0.11717742741777283,-0.6912898550482276,2.6586707865864603,32.05195004667405,0.0,684,True,Thyroid,684,0
GOLGA8N,0.5987861201763622,42.65937898898177,3.5000164101982905,0.6939203169114593,417.30308216938005,2.533752216750153,0.03989911984540124,1.5815344349083273,4.743267209088966,3.4423915898462774,0.507427576519754,-0.411452083490354,0.2226729653313564,4.743267209088966,42.63841269544084,1.7012351381530717,684,True,Thyroid,684,0
GOLGA8A,0.9827810459741606,21.591667112114692,7.6912914419182705,0.5148720703560269,120.67652191142211,3.9656261941435442,0.0003845151739411582,5.658291471546472,9.135055116062782,7.62075394158761,0.5137706837412187,-0.5862074219184655,1.6544175040893645,9.135055116062782,21.591479701980262,0.008302251573253927,266,True,Brain_Cerebellum,266,0
