symbol,group,top_tissue,top_tissue_tpm,brain_mean,nonbrain_mean,log2fc_brain_vs_nonbrain,tau
CDC14C,TOL,Testis,9.85968,0.0208201948064027,0.0639793711048964,-0.0431591762984936,0.9996304555977236
ZNF479,TOL,Testis,4.21407,0.0,0.0433165445725746,-0.0433165445725746,1.0
NBPF4,TOL,Testis,4.29755,0.0756491249423881,0.1200725063710059,-0.0444233814286178,0.9845418502072598
GOLGA6L6,TOL,Testis,5.70287,0.0048304604167246,0.049905071882025,-0.0450746114653004,0.9998852423847652
GOLGA6L22,TOL,Testis,6.87522,0.0087357355732114,0.0541330950326984,-0.0453973594594869,0.9998269721583292
SPANXN1,TOL,Testis,4.71836,0.0,0.045738208142862,-0.045738208142862,1.0
TBC1D3B,TOL,Testis,3.41441,0.0542947648992928,0.1026507368155798,-0.048355971916287,0.986897926509626
H3-2,TOL,Ovary,7.06452,0.5886241772522233,0.6382945719667746,-0.0496703947145513,0.9121059697858652
ELOA2,TOL,Testis,9.79673,0.0362851993718869,0.0864388129988535,-0.0501536136269665,0.998067436178179
RGPD3,TOL,Testis,7.02638,0.3065929098091752,0.3569485998223913,-0.050355690013216,0.965011403931784
RHOXF2B,TOL,Testis,5.84093,0.0,0.0504398630487618,-0.0504398630487618,1.0
POTEH,TOL,Testis,2.25432,0.0,0.0504998482779494,-0.0504998482779494,0.9926713181669636
POTEM,TOL,Testis,0.993889,0.0061458700396454,0.0571742847162229,-0.0510284146765774,0.973392543625138
POTEC,TOL,Testis,6.29262,0.0,0.0524840556818445,-0.0524840556818445,0.9999666999157552
FRG2C,TOL,Testis,1.97825,0.0217486466623328,0.0742869710994382,-0.0525383244371054,0.9825338126755332
SLX1B,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,0.315723,0.1129581495096904,0.1656332949238469,-0.0526751454141565,0.6444843418146484
NUTM2F,TOL,Testis,2.86191,0.0014628089220298,0.0542849638583686,-0.0528221549363387,0.9961078414545927
PSG5,TOL,Cells_Cultured_fibroblasts,16.8206,0.0358916064755054,0.0920046290946673,-0.0561130226191618,0.9991200368915087
POTEI,TOL,Testis,1.25318,0.0070444403407695,0.0634276724204156,-0.056383232079646,0.9787901965459572
SHOX,TOL,Adipose_Subcutaneous,1.3571,0.0130224744571104,0.0697494239486901,-0.0567269494915797,0.9773321954078988
SPATA31D3,TOL,Testis,7.82283,0.0,0.0571134815833821,-0.0571134815833821,1.0
SPDYE16,TOL,Testis,0.652938,0.0232583682760432,0.0807445073740873,-0.057486139098044,0.9342544488807262
POM121L2,TOL,Testis,14.5384,0.029495531007945,0.0903674621722923,-0.0608719311643473,0.9989926933592644
DEFB4A,TOL,Esophagus_Mucosa,2.93435,0.0,0.0614723045954045,-0.0614723045954045,0.9944337185712516
SLC35G6,TOL,Testis,13.4517,0.125397718014948,0.187699778533021,-0.062302060518073,0.993377049718734
NUTM2A,TOL,Testis,0.80531,0.3749702114883919,0.4376317414462173,-0.0626615299578254,0.5737495915636084
GOLGA8J,TOL,Testis,2.86266,0.1028910411743533,0.1656309713968646,-0.0627399302225112,0.966954281431809
SPATA31A1,TOL,Testis,9.99596,0.0,0.0628891210685299,-0.0628891210685299,1.0
GRAPL,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,0.786456,0.0,0.0632674412772318,-0.0632674412772318,0.9630840996275906
FAM189B,TOL,Brain_Cerebellum,50.8256,4.429000079591377,4.49249214726244,-0.0634920676710626,0.5371492042792396
NPY4R2,TOL,Colon_Transverse_Mucosa,0.647416,0.0325745993492417,0.0964680856349486,-0.0638934862857069,0.9090597865148043
MAGEA6,TOL,Testis,11.3364,0.0,0.0659063553543522,-0.0659063553543522,1.0
FAM25C,TOL,Skin_Not_Sun_Exposed_Suprapubic,1.21815,0.0,0.0665114099208191,-0.0665114099208191,0.9719632351724936
MAGEA3,TOL,Testis,13.2166,0.0,0.0696273558257858,-0.0696273558257858,1.0
PRB3,TOL,Testis,2.1073,0.0,0.0710921149550853,-0.0710921149550853,0.9877330261330372
CT47B1,TOL,Testis,14.405,0.0,0.0717332141320841,-0.0717332141320841,1.0
POTEG,TOL,Testis,1.70602,0.0,0.0729778578562583,-0.0729778578562583,0.9830914127268724
PKD2L2,TOL,Testis,6.82548,0.1440021199355849,0.2195746172641054,-0.0755724973285204,0.9820649943464694
SSX3,TOL,Testis,19.0857,0.0,0.0801565557045858,-0.0801565557045858,0.999955116431236
LIMS4,TOL,Artery_Aorta,0.570482,0.0,0.0808073310541041,-0.0808073310541041,0.9280379272892412
SSX1,TOL,Testis,16.4389,0.0,0.0815198318386051,-0.0815198318386051,0.9997431910458476
GLYATL1B,TOL,Cells_EBV-transformed_lymphocytes,1.94505,0.0,0.0838625661772172,-0.0838625661772172,0.9791167859322958
SPDYE21,TOL,Testis,0.893814,0.0771658600825622,0.1613571519653038,-0.0841912918827416,0.8896100841575473
RFPL4A,TOL,Testis,1.21523,0.0,0.0846032009666281,-0.0846032009666281,0.9655795948460588
